ID,Case Number,Date,Primary Type,Location Description,Arrest,Domestic
100096,JC100096,05/23/2018 09:40:00 AM,BATTERY,SIDEWALK,True,True
100097,JC100097,08/05/2019 05:29:00 PM,BATTERY,SIDEWALK,False,False
100098,JC100098,08/06/2018 02:57:00 AM,CRIMINAL DAMAGE,APARTMENT,True,False
100099,JC100099,04/08/2015 09:33:00 PM,ASSAULT,RESIDENCE,False,False
100100,JC100100,10/16/2017 08:47:00 AM,ROBBERY,APARTMENT,False,True
100101,JC100101,07/04/2015 02:33:00 PM,THEFT,SIDEWALK,True,False
100102,JC100102,05/01/2018 05:56:00 PM,MOTOR VEHICLE THEFT,SCHOOL,True,False
100103,JC100103,03/08/2015 10:00:00 AM,NARCOTICS,SIDEWALK,False,False
100104,JC100104,02/25/2015 11:25:00 AM,THEFT,PARKING LOT,False,True
100105,JC100105,08/14/2017 04:45:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,True,True
100106,JC100106,06/17/2019 08:55:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,False,False
100107,JC100107,04/09/2015 02:30:00 AM,BURGLARY,SIDEWALK,True,False
100108,JC100108,07/30/2017 03:04:00 AM,BATTERY,PARKING LOT,True,False
100109,JC100109,02/12/2017 04:37:00 AM,CRIMINAL DAMAGE,STREET,True,False
100110,JC100110,03/13/2015 03:31:00 AM,MOTOR VEHICLE THEFT,STREET,False,False
100111,JC100111,09/13/2019 10:57:00 AM,BURGLARY,PARKING LOT,False,True
100112,JC100112,02/23/2015 11:19:00 AM,MOTOR VEHICLE THEFT,STREET,False,False
100113,JC100113,06/21/2015 04:15:00 PM,BURGLARY,APARTMENT,True,True
100114,JC100114,10/26/2018 12:06:00 AM,ROBBERY,SIDEWALK,True,True
100115,JC100115,03/15/2018 11:30:00 PM,ROBBERY,PARKING LOT,False,True
100116,JC100116,06/22/2017 11:59:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100117,JC100117,08/09/2017 10:44:00 PM,THEFT,RESIDENCE,True,True
100118,JC100118,08/31/2016 12:18:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,True,False
100119,JC100119,08/20/2018 08:44:00 PM,CRIMINAL DAMAGE,APARTMENT,True,True
100120,JC100120,01/17/2018 04:21:00 AM,BATTERY,APARTMENT,True,True
100121,JC100121,12/28/2016 10:18:00 PM,ASSAULT,APARTMENT,True,True
100122,JC100122,03/17/2016 10:38:00 AM,ASSAULT,SCHOOL,True,True
100123,JC100123,09/11/2017 05:05:00 PM,THEFT,STREET,False,False
100124,JC100124,09/09/2018 12:17:00 AM,BURGLARY,SIDEWALK,False,False
100125,JC100125,08/05/2017 07:21:00 PM,BURGLARY,SIDEWALK,False,True
100126,JC100126,04/14/2015 08:19:00 AM,THEFT,APARTMENT,True,False
100127,JC100127,04/09/2018 12:29:00 AM,ASSAULT,SIDEWALK,False,True
100128,JC100128,03/27/2018 01:24:00 PM,THEFT,SCHOOL,True,False
100129,JC100129,11/01/2017 01:35:00 PM,THEFT,PARKING LOT,True,True
100130,JC100130,07/13/2019 11:00:00 AM,NARCOTICS,RESIDENCE,True,True
100131,JC100131,07/22/2017 12:26:00 AM,BATTERY,SCHOOL,False,False
100132,JC100132,03/03/2019 11:57:00 AM,CRIMINAL DAMAGE,STREET,True,True
100133,JC100133,11/13/2017 10:02:00 PM,ROBBERY,RESIDENCE,False,False
100134,JC100134,02/01/2017 02:55:00 PM,ASSAULT,PARKING LOT,False,False
100135,JC100135,06/21/2019 10:43:00 AM,ASSAULT,SIDEWALK,True,False
100136,JC100136,10/24/2015 12:35:00 PM,ASSAULT,SCHOOL,False,True
100137,JC100137,04/22/2018 03:24:00 AM,MOTOR VEHICLE THEFT,STREET,False,False
100138,JC100138,04/20/2017 08:43:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,True,False
100139,JC100139,03/09/2017 10:12:00 PM,THEFT,APARTMENT,False,False
100140,JC100140,11/14/2015 11:13:00 PM,BATTERY,APARTMENT,False,False
100141,JC100141,08/27/2017 09:35:00 PM,THEFT,STREET,False,False
100142,JC100142,04/12/2015 02:50:00 PM,NARCOTICS,STREET,True,True
100143,JC100143,11/17/2017 02:01:00 PM,ROBBERY,STREET,True,True
100144,JC100144,08/11/2019 01:43:00 AM,ROBBERY,SIDEWALK,False,False
100145,JC100145,03/10/2017 04:27:00 AM,THEFT,SIDEWALK,True,True
100146,JC100146,10/13/2016 12:40:00 PM,NARCOTICS,SIDEWALK,False,True
100147,JC100147,03/05/2016 05:54:00 PM,MOTOR VEHICLE THEFT,STREET,True,True
100148,JC100148,01/15/2016 12:37:00 PM,ROBBERY,RESIDENCE,False,False
100149,JC100149,08/08/2018 08:47:00 AM,ASSAULT,SIDEWALK,False,True
100150,JC100150,09/18/2017 09:19:00 PM,ROBBERY,APARTMENT,False,True
100151,JC100151,03/06/2019 05:02:00 AM,THEFT,STREET,True,True
100152,JC100152,05/05/2017 09:15:00 AM,ROBBERY,SCHOOL,True,True
100153,JC100153,03/04/2017 06:08:00 PM,THEFT,SIDEWALK,True,True
100154,JC100154,05/03/2015 12:19:00 PM,BATTERY,RESIDENCE,False,False
100155,JC100155,04/15/2018 11:29:00 AM,ROBBERY,STREET,False,False
100156,JC100156,02/21/2015 08:42:00 AM,THEFT,SCHOOL,False,False
100157,JC100157,06/06/2015 10:39:00 AM,THEFT,SIDEWALK,False,True
100158,JC100158,09/20/2017 05:32:00 PM,MOTOR VEHICLE THEFT,STREET,False,False
100159,JC100159,11/02/2018 08:07:00 AM,NARCOTICS,SCHOOL,True,False
100160,JC100160,05/04/2017 05:31:00 PM,THEFT,PARKING LOT,False,True
100161,JC100161,04/03/2015 01:59:00 PM,BURGLARY,STREET,False,True
100162,JC100162,06/10/2016 02:23:00 PM,ASSAULT,SIDEWALK,False,False
100163,JC100163,12/06/2015 11:58:00 AM,NARCOTICS,RESIDENCE,False,True
100164,JC100164,01/17/2018 08:01:00 PM,ROBBERY,RESIDENCE,True,False
100165,JC100165,08/05/2019 04:36:00 PM,MOTOR VEHICLE THEFT,APARTMENT,True,False
100166,JC100166,02/21/2019 06:59:00 PM,NARCOTICS,SIDEWALK,True,False
100167,JC100167,12/14/2019 06:48:00 AM,CRIMINAL DAMAGE,RESIDENCE,False,True
100168,JC100168,03/05/2018 09:12:00 AM,ASSAULT,RESIDENCE,False,False
100169,JC100169,05/18/2015 07:37:00 AM,BATTERY,SIDEWALK,False,False
100170,JC100170,05/17/2015 01:00:00 PM,MOTOR VEHICLE THEFT,APARTMENT,False,False
100171,JC100171,08/01/2016 09:48:00 PM,NARCOTICS,STREET,False,False
100172,JC100172,03/08/2017 08:15:00 AM,CRIMINAL DAMAGE,PARKING LOT,False,False
100173,JC100173,11/27/2019 08:27:00 PM,NARCOTICS,PARKING LOT,False,True
100174,JC100174,11/10/2015 01:34:00 PM,BURGLARY,APARTMENT,False,False
100175,JC100175,02/13/2019 02:17:00 PM,CRIMINAL DAMAGE,SIDEWALK,True,False
100176,JC100176,07/07/2019 06:07:00 PM,CRIMINAL DAMAGE,APARTMENT,False,False
100177,JC100177,09/27/2019 07:50:00 AM,BURGLARY,PARKING LOT,True,True
100178,JC100178,07/13/2016 12:11:00 PM,ROBBERY,STREET,True,False
100179,JC100179,12/15/2016 11:28:00 AM,ROBBERY,STREET,True,True
100180,JC100180,08/11/2019 11:22:00 PM,ROBBERY,APARTMENT,True,True
100181,JC100181,04/08/2019 06:11:00 AM,CRIMINAL DAMAGE,SIDEWALK,True,True
100182,JC100182,06/09/2018 06:54:00 AM,NARCOTICS,SCHOOL,False,False
100183,JC100183,05/10/2019 05:33:00 AM,THEFT,PARKING LOT,True,True
100184,JC100184,08/28/2018 02:46:00 PM,CRIMINAL DAMAGE,APARTMENT,False,True
100185,JC100185,08/31/2015 04:18:00 AM,BURGLARY,SIDEWALK,False,True
100186,JC100186,10/17/2018 12:23:00 AM,BATTERY,STREET,False,True
100187,JC100187,07/30/2019 05:57:00 PM,ASSAULT,PARKING LOT,True,True
100188,JC100188,03/16/2018 05:02:00 AM,THEFT,APARTMENT,False,True
100189,JC100189,10/07/2018 06:15:00 PM,BURGLARY,APARTMENT,False,False
100190,JC100190,12/27/2017 08:00:00 AM,MOTOR VEHICLE THEFT,SCHOOL,True,False
100191,JC100191,05/25/2018 02:02:00 PM,ROBBERY,SIDEWALK,True,True
100192,JC100192,12/28/2015 06:13:00 PM,BURGLARY,SCHOOL,False,False
100193,JC100193,04/02/2016 09:44:00 AM,ASSAULT,RESIDENCE,False,False
100194,JC100194,02/27/2017 02:59:00 PM,THEFT,RESIDENCE,True,True
100195,JC100195,04/09/2015 04:39:00 AM,NARCOTICS,PARKING LOT,False,True
100196,JC100196,03/24/2016 10:04:00 AM,THEFT,APARTMENT,True,True
100197,JC100197,08/14/2019 10:49:00 AM,ASSAULT,SCHOOL,True,True
100198,JC100198,10/27/2016 05:19:00 PM,ROBBERY,SCHOOL,True,False
100199,JC100199,03/22/2018 07:53:00 AM,CRIMINAL DAMAGE,PARKING LOT,False,False
100200,JC100200,11/17/2016 07:05:00 AM,ASSAULT,RESIDENCE,False,False
100201,JC100201,01/04/2018 05:34:00 AM,CRIMINAL DAMAGE,PARKING LOT,True,True
100202,JC100202,03/16/2018 10:29:00 AM,NARCOTICS,RESIDENCE,False,True
100203,JC100203,02/17/2018 08:20:00 AM,MOTOR VEHICLE THEFT,STREET,True,True
100204,JC100204,06/04/2019 06:46:00 PM,ROBBERY,SCHOOL,True,False
100205,JC100205,01/18/2017 08:20:00 PM,ASSAULT,SCHOOL,False,True
100206,JC100206,10/19/2015 09:13:00 PM,ASSAULT,SCHOOL,True,False
100207,JC100207,07/06/2019 12:15:00 AM,BURGLARY,PARKING LOT,False,False
100208,JC100208,11/05/2018 12:25:00 AM,CRIMINAL DAMAGE,STREET,False,False
100209,JC100209,04/10/2017 12:41:00 AM,MOTOR VEHICLE THEFT,SCHOOL,False,True
100210,JC100210,01/25/2015 02:32:00 AM,ASSAULT,RESIDENCE,False,False
100211,JC100211,03/02/2017 06:15:00 AM,CRIMINAL DAMAGE,STREET,False,True
100212,JC100212,02/06/2018 11:39:00 PM,BATTERY,APARTMENT,False,False
100213,JC100213,06/02/2017 01:33:00 AM,BURGLARY,RESIDENCE,True,True
100214,JC100214,06/23/2018 03:50:00 PM,ASSAULT,SCHOOL,True,False
100215,JC100215,10/05/2016 02:48:00 AM,ROBBERY,APARTMENT,False,False
100216,JC100216,12/14/2018 06:53:00 PM,BURGLARY,SCHOOL,True,False
100217,JC100217,01/21/2019 06:59:00 AM,THEFT,SCHOOL,True,True
100218,JC100218,12/28/2019 04:37:00 PM,BURGLARY,SCHOOL,True,True
100219,JC100219,07/15/2016 06:10:00 AM,BURGLARY,SCHOOL,False,True
100220,JC100220,01/12/2018 04:42:00 AM,CRIMINAL DAMAGE,SCHOOL,True,True
100221,JC100221,05/10/2016 01:58:00 PM,MOTOR VEHICLE THEFT,APARTMENT,True,False
100222,JC100222,06/15/2016 09:46:00 PM,NARCOTICS,SCHOOL,False,True
100223,JC100223,07/26/2019 10:52:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,True,False
100224,JC100224,08/12/2019 02:17:00 PM,ASSAULT,RESIDENCE,True,False
100225,JC100225,01/02/2017 10:18:00 PM,NARCOTICS,APARTMENT,False,True
100226,JC100226,02/21/2017 09:47:00 AM,MOTOR VEHICLE THEFT,APARTMENT,False,False
100227,JC100227,12/18/2016 07:51:00 AM,CRIMINAL DAMAGE,RESIDENCE,True,False
100228,JC100228,11/19/2016 05:26:00 PM,NARCOTICS,PARKING LOT,False,False
100229,JC100229,02/21/2017 05:53:00 PM,ROBBERY,SIDEWALK,True,True
100230,JC100230,11/03/2018 01:09:00 PM,ROBBERY,SIDEWALK,False,False
100231,JC100231,04/14/2018 12:21:00 PM,CRIMINAL DAMAGE,APARTMENT,False,True
100232,JC100232,06/08/2018 03:21:00 AM,ASSAULT,SIDEWALK,True,False
100233,JC100233,03/30/2015 08:21:00 AM,THEFT,STREET,True,True
100234,JC100234,07/25/2015 12:06:00 PM,ROBBERY,APARTMENT,True,False
100235,JC100235,05/04/2017 09:59:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,True,False
100236,JC100236,02/04/2017 01:50:00 PM,THEFT,RESIDENCE,False,True
100237,JC100237,07/16/2018 01:56:00 AM,CRIMINAL DAMAGE,RESIDENCE,True,True
100238,JC100238,08/27/2019 02:23:00 AM,BURGLARY,SIDEWALK,True,False
100239,JC100239,03/29/2015 10:15:00 AM,BATTERY,RESIDENCE,False,True
100240,JC100240,09/19/2017 07:19:00 PM,CRIMINAL DAMAGE,SCHOOL,False,True
100241,JC100241,02/14/2018 07:35:00 PM,BATTERY,APARTMENT,False,True
100242,JC100242,10/03/2018 03:53:00 PM,ROBBERY,SIDEWALK,False,False
100243,JC100243,08/26/2015 06:05:00 PM,MOTOR VEHICLE THEFT,APARTMENT,False,True
100244,JC100244,05/25/2019 12:34:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,False,True
100245,JC100245,03/03/2017 03:12:00 AM,ROBBERY,PARKING LOT,True,False
100246,JC100246,07/30/2015 10:50:00 AM,NARCOTICS,SCHOOL,False,False
100247,JC100247,04/12/2018 02:38:00 PM,BURGLARY,RESIDENCE,True,True
100248,JC100248,04/27/2019 05:05:00 AM,BATTERY,PARKING LOT,False,True
100249,JC100249,12/22/2018 10:04:00 AM,BURGLARY,SIDEWALK,True,True
100250,JC100250,12/10/2017 09:31:00 AM,ASSAULT,PARKING LOT,False,False
100251,JC100251,08/25/2019 11:18:00 PM,CRIMINAL DAMAGE,RESIDENCE,True,False
100252,JC100252,05/06/2016 05:07:00 PM,CRIMINAL DAMAGE,RESIDENCE,False,False
100253,JC100253,08/26/2016 06:06:00 PM,ASSAULT,APARTMENT,True,True
100254,JC100254,03/21/2017 09:08:00 AM,CRIMINAL DAMAGE,SIDEWALK,True,True
100255,JC100255,07/06/2018 12:31:00 AM,BATTERY,SCHOOL,True,False
100256,JC100256,03/26/2018 12:49:00 AM,ROBBERY,STREET,False,False
100257,JC100257,12/21/2017 03:06:00 AM,BATTERY,STREET,False,False
100258,JC100258,11/14/2017 09:29:00 AM,THEFT,APARTMENT,True,False
100259,JC100259,03/09/2018 07:16:00 PM,ROBBERY,PARKING LOT,True,False
100260,JC100260,12/04/2015 12:02:00 PM,THEFT,APARTMENT,True,True
100261,JC100261,02/12/2018 09:54:00 PM,ROBBERY,RESIDENCE,True,False
100262,JC100262,01/28/2016 11:56:00 PM,ROBBERY,PARKING LOT,True,False
100263,JC100263,01/20/2018 03:12:00 PM,NARCOTICS,APARTMENT,False,False
100264,JC100264,07/22/2017 09:54:00 PM,ROBBERY,SCHOOL,False,False
100265,JC100265,10/16/2019 05:24:00 PM,NARCOTICS,SIDEWALK,True,False
100266,JC100266,10/20/2015 12:51:00 AM,THEFT,RESIDENCE,True,True
100267,JC100267,02/10/2018 06:04:00 PM,ROBBERY,RESIDENCE,False,True
100268,JC100268,11/14/2018 05:47:00 AM,THEFT,STREET,False,True
100269,JC100269,05/18/2016 02:48:00 PM,MOTOR VEHICLE THEFT,APARTMENT,True,False
100270,JC100270,07/16/2017 01:54:00 PM,BURGLARY,APARTMENT,False,True
100271,JC100271,05/06/2019 06:10:00 PM,ROBBERY,PARKING LOT,False,True
100272,JC100272,06/16/2019 05:57:00 AM,THEFT,STREET,False,False
100273,JC100273,09/28/2018 09:19:00 PM,ASSAULT,PARKING LOT,True,True
100274,JC100274,09/07/2016 03:29:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,False,True
100275,JC100275,11/03/2019 05:50:00 AM,NARCOTICS,RESIDENCE,False,True
100276,JC100276,03/01/2018 11:42:00 PM,ASSAULT,STREET,False,True
100277,JC100277,09/18/2017 04:45:00 PM,NARCOTICS,PARKING LOT,True,True
100278,JC100278,04/06/2018 04:51:00 AM,CRIMINAL DAMAGE,APARTMENT,False,True
100279,JC100279,07/15/2017 08:27:00 PM,CRIMINAL DAMAGE,STREET,True,False
100280,JC100280,08/14/2019 06:57:00 PM,ROBBERY,SCHOOL,False,True
100281,JC100281,05/08/2016 05:53:00 PM,BURGLARY,STREET,True,False
100282,JC100282,01/28/2016 06:53:00 PM,ASSAULT,SCHOOL,True,False
100283,JC100283,08/26/2016 06:57:00 PM,THEFT,STREET,False,True
100284,JC100284,03/04/2017 03:35:00 PM,CRIMINAL DAMAGE,RESIDENCE,True,True
100285,JC100285,01/26/2016 01:19:00 AM,THEFT,RESIDENCE,False,True
100286,JC100286,07/31/2015 01:40:00 AM,BURGLARY,RESIDENCE,False,False
100287,JC100287,12/11/2019 02:04:00 AM,NARCOTICS,SCHOOL,True,True
100288,JC100288,01/25/2018 08:33:00 PM,ASSAULT,PARKING LOT,False,True
100289,JC100289,08/16/2017 02:29:00 AM,BATTERY,PARKING LOT,False,False
100290,JC100290,12/06/2018 11:09:00 PM,BATTERY,STREET,False,False
100291,JC100291,01/05/2018 11:03:00 PM,ROBBERY,SIDEWALK,False,False
100292,JC100292,11/16/2018 12:03:00 AM,THEFT,SCHOOL,False,True
100293,JC100293,05/07/2015 10:23:00 AM,BURGLARY,PARKING LOT,True,True
100294,JC100294,11/05/2017 05:25:00 AM,NARCOTICS,RESIDENCE,False,True
100295,JC100295,03/19/2015 08:30:00 AM,CRIMINAL DAMAGE,STREET,True,True
100296,JC100296,01/29/2017 11:17:00 AM,MOTOR VEHICLE THEFT,APARTMENT,False,False
100297,JC100297,07/15/2015 09:05:00 PM,THEFT,SCHOOL,True,False
100298,JC100298,12/26/2015 12:50:00 PM,CRIMINAL DAMAGE,PARKING LOT,True,False
100299,JC100299,02/10/2018 12:23:00 PM,THEFT,SIDEWALK,False,False
100300,JC100300,10/28/2017 10:34:00 AM,BATTERY,SIDEWALK,True,False
100301,JC100301,10/18/2016 09:31:00 PM,THEFT,APARTMENT,True,False
100302,JC100302,04/20/2018 02:32:00 AM,BATTERY,STREET,False,False
100303,JC100303,09/02/2018 11:46:00 AM,THEFT,STREET,True,True
100304,JC100304,07/08/2019 08:01:00 PM,ROBBERY,RESIDENCE,True,True
100305,JC100305,11/25/2017 02:24:00 AM,ROBBERY,RESIDENCE,False,False
100306,JC100306,09/27/2015 08:11:00 PM,NARCOTICS,SCHOOL,False,False
100307,JC100307,12/18/2018 11:10:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,False,True
100308,JC100308,04/28/2019 11:00:00 AM,CRIMINAL DAMAGE,SCHOOL,False,False
100309,JC100309,07/29/2019 10:02:00 AM,ROBBERY,PARKING LOT,False,False
100310,JC100310,10/14/2018 06:13:00 PM,ROBBERY,RESIDENCE,True,True
100311,JC100311,04/23/2019 01:10:00 AM,NARCOTICS,APARTMENT,True,True
100312,JC100312,01/30/2016 03:09:00 PM,CRIMINAL DAMAGE,APARTMENT,True,True
100313,JC100313,05/22/2016 05:43:00 AM,THEFT,RESIDENCE,False,False
100314,JC100314,09/02/2018 01:39:00 PM,BATTERY,RESIDENCE,True,False
100315,JC100315,06/29/2018 08:11:00 AM,ROBBERY,SCHOOL,False,False
100316,JC100316,04/26/2017 12:57:00 PM,CRIMINAL DAMAGE,STREET,False,False
100317,JC100317,12/03/2019 08:43:00 AM,MOTOR VEHICLE THEFT,PARKING LOT,True,False
100318,JC100318,08/01/2018 12:47:00 PM,THEFT,PARKING LOT,True,False
